Student_ID,subject_id,subject_name,cat_1,cat_2,cat_3,exam_1,exam_2
1001,2,Mathematics,55,69,63,61,71
1002,2,Mathematics,38,36,48,36,53
1003,2,Mathematics,96,84,79,74,76
1004,2,Mathematics,91,85,85,82,84
1005,2,Mathematics,21,24,37,34,32
1006,2,Mathematics,55,50,49,55,48
1007,2,Mathematics,62,79,76,75,80
1008,2,Mathematics,81,66,72,79,85
1009,2,Mathematics,36,42,37,39,35
1010,2,Mathematics,54,55,66,52,72
1011,2,Mathematics,54,49,59,52,57
1012,2,Mathematics,56,67,60,68,83
1013,2,Mathematics,58,50,41,48,49
1014,2,Mathematics,14,20,23,25,30
1015,2,Mathematics,16,27,29,29,32
1016,2,Mathematics,43,41,33,46,46
1017,2,Mathematics,50,51,65,58,63
1018,2,Mathematics,64,69,61,64,61
1019,2,Mathematics,27,29,25,34,21
1020,2,Mathematics,40,51,44,48,33
1021,2,Mathematics,100,99,100,96,100
1022,2,Mathematics,60,63,78,82,73
1023,2,Mathematics,39,32,34,33,34
1024,2,Mathematics,30,38,23,35,27
1025,2,Mathematics,64,53,62,60,62
1026,2,Mathematics,64,46,47,47,48
1027,2,Mathematics,49,50,37,34,41
1028,2,Mathematics,72,69,58,75,76
1029,2,Mathematics,34,38,37,38,45
1030,2,Mathematics,45,41,45,49,60
1031,2,Mathematics,15,13,19,26,12
1032,2,Mathematics,79,76,82,74,67
1033,2,Mathematics,59,58,57,61,63
1034,2,Mathematics,31,28,32,40,30
1035,2,Mathematics,81,84,92,86,86
1036,2,Mathematics,27,24,31,14,16
1037,2,Mathematics,63,54,56,59,56
1038,2,Mathematics,28,33,19,26,20
1039,2,Mathematics,40,48,55,64,56
1040,2,Mathematics,55,34,29,44,37
1041,2,Mathematics,82,78,71,65,77
1042,2,Mathematics,57,70,53,51,57
1043,2,Mathematics,45,42,45,36,52
1044,2,Mathematics,62,57,58,58,57
1045,2,Mathematics,43,37,41,37,47
1046,2,Mathematics,49,37,28,36,30
1047,2,Mathematics,45,47,40,50,39
1048,2,Mathematics,72,69,65,54,57
1049,2,Mathematics,54,70,67,60,61
1050,2,Mathematics,23,34,32,30,35
1051,2,Mathematics,80,75,85,92,92
1052,2,Mathematics,33,41,39,42,41
1053,2,Mathematics,63,76,71,83,68
1054,2,Mathematics,46,43,47,51,58
1055,2,Mathematics,66,70,83,82,75
1056,2,Mathematics,76,79,69,73,65
1057,2,Mathematics,49,43,56,40,39
1058,2,Mathematics,50,55,42,52,45
1059,2,Mathematics,63,62,48,66,65
1060,2,Mathematics,67,67,64,59,57
1061,2,Mathematics,49,45,40,46,25
1062,2,Mathematics,50,60,57,58,75
1063,2,Mathematics,44,41,43,40,31
1064,2,Mathematics,27,22,31,44,41
1065,2,Mathematics,74,74,88,77,77
1066,2,Mathematics,80,78,80,83,84
1067,2,Mathematics,62,68,64,66,54
1068,2,Mathematics,78,84,62,93,81
1069,2,Mathematics,46,57,49,53,70
1070,2,Mathematics,41,45,42,40,41
1071,2,Mathematics,68,73,81,85,89
1072,2,Mathematics,77,95,79,89,83
1073,2,Mathematics,56,56,57,64,57
1074,2,Mathematics,85,86,72,82,82
1075,2,Mathematics,37,27,28,26,27
1076,2,Mathematics,53,69,53,51,42
1077,2,Mathematics,54,71,66,55,71
1078,2,Mathematics,47,35,65,45,45
1079,2,Mathematics,69,64,61,62,65
1080,2,Mathematics,38,38,38,35,39
1081,2,Mathematics,59,51,48,53,58
1082,2,Mathematics,59,64,77,67,73
1083,2,Mathematics,84,92,84,89,95
1084,2,Mathematics,50,45,46,42,46
1085,2,Mathematics,47,51,53,51,51
1086,2,Mathematics,40,35,53,34,36
1087,2,Mathematics,77,69,77,65,69
1088,2,Mathematics,72,50,58,59,56
1089,2,Mathematics,47,48,47,53,60
1090,2,Mathematics,60,67,82,61,75
1091,2,Mathematics,45,54,63,54,57
1092,2,Mathematics,84,86,81,88,82
1093,2,Mathematics,25,37,40,23,38
1094,2,Mathematics,31,50,44,39,45
1095,2,Mathematics,61,65,57,64,56
